algorithm,transformation,max_features,ngram_range,data_type,mean_balanced_accuracy,mean_recall,mean_roc_auc,mean_f1,mean_precision
RF,tc,500,"(1, 2)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tc,500,"(1, 2)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,500,"(1, 3)",clean,0.94,0.97,0.94,0.92,0.94
SVMR,tc,500,"(1, 3)",clean,0.58,0.15,0.58,0.77,0.58
SVML,tc,500,"(1, 3)",clean,0.93,0.88,0.93,0.96,0.93
LR1,tc,500,"(1, 3)",clean,0.88,0.77,0.88,0.94,0.88
LR2,tc,500,"(1, 3)",clean,0.92,0.84,0.92,0.96,0.92
RF,tc,500,"(1, 3)",clean,0.95,0.92,0.95,0.97,0.95
XGB,tc,500,"(1, 3)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,500,"(1, 3)",clean_steeming,0.93,0.93,0.93,0.93,0.93
SVMR,tc,500,"(1, 3)",clean_steeming,0.62,0.24,0.62,0.8,0.62
SVML,tc,500,"(1, 3)",clean_steeming,0.95,0.91,0.95,0.97,0.95
LR1,tc,500,"(1, 3)",clean_steeming,0.91,0.83,0.91,0.96,0.91
LR2,tc,500,"(1, 3)",clean_steeming,0.93,0.87,0.93,0.97,0.93
RF,tc,500,"(1, 3)",clean_steeming,0.94,0.9,0.94,0.97,0.94
XGB,tc,500,"(1, 3)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,500,"(1, 3)",clean_lemmatization,0.93,0.93,0.93,0.93,0.93
SVMR,tc,500,"(1, 3)",clean_lemmatization,0.61,0.23,0.61,0.8,0.61
SVML,tc,500,"(1, 3)",clean_lemmatization,0.93,0.88,0.93,0.96,0.93
LR1,tc,500,"(1, 3)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
LR2,tc,500,"(1, 3)",clean_lemmatization,0.91,0.83,0.91,0.96,0.91
RF,tc,500,"(1, 3)",clean_lemmatization,0.95,0.92,0.95,0.97,0.95
XGB,tc,500,"(1, 3)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,500,"(1, 3)",clean_steeming_lemmatization,0.93,0.93,0.93,0.93,0.93
SVMR,tc,500,"(1, 3)",clean_steeming_lemmatization,0.62,0.23,0.62,0.8,0.62
SVML,tc,500,"(1, 3)",clean_steeming_lemmatization,0.96,0.93,0.96,0.97,0.96
LR1,tc,500,"(1, 3)",clean_steeming_lemmatization,0.91,0.83,0.91,0.96,0.91
LR2,tc,500,"(1, 3)",clean_steeming_lemmatization,0.93,0.87,0.93,0.97,0.93
RF,tc,500,"(1, 3)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tc,500,"(1, 3)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,800,"(1, 1)",clean,0.94,0.94,0.94,0.94,0.94
SVMR,tc,800,"(1, 1)",clean,0.52,0.04,0.52,0.79,0.52
SVML,tc,800,"(1, 1)",clean,0.93,0.88,0.93,0.97,0.93
LR1,tc,800,"(1, 1)",clean,0.87,0.76,0.87,0.94,0.87
LR2,tc,800,"(1, 1)",clean,0.92,0.84,0.92,0.96,0.92
RF,tc,800,"(1, 1)",clean,0.95,0.91,0.95,0.97,0.95
XGB,tc,800,"(1, 1)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,800,"(1, 1)",clean_steeming,0.92,0.88,0.92,0.94,0.92
SVMR,tc,800,"(1, 1)",clean_steeming,0.55,0.09,0.55,0.76,0.55
SVML,tc,800,"(1, 1)",clean_steeming,0.94,0.9,0.94,0.97,0.94
LR1,tc,800,"(1, 1)",clean_steeming,0.91,0.83,0.91,0.96,0.91
LR2,tc,800,"(1, 1)",clean_steeming,0.93,0.86,0.93,0.97,0.93
RF,tc,800,"(1, 1)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tc,800,"(1, 1)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,800,"(1, 1)",clean_lemmatization,0.94,0.93,0.94,0.95,0.94
SVMR,tc,800,"(1, 1)",clean_lemmatization,0.53,0.07,0.53,0.79,0.53
SVML,tc,800,"(1, 1)",clean_lemmatization,0.93,0.88,0.93,0.97,0.93
LR1,tc,800,"(1, 1)",clean_lemmatization,0.88,0.78,0.88,0.95,0.88
LR2,tc,800,"(1, 1)",clean_lemmatization,0.91,0.83,0.91,0.96,0.91
RF,tc,800,"(1, 1)",clean_lemmatization,0.95,0.92,0.95,0.97,0.95
XGB,tc,800,"(1, 1)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,800,"(1, 1)",clean_steeming_lemmatization,0.92,0.89,0.92,0.94,0.92
SVMR,tc,800,"(1, 1)",clean_steeming_lemmatization,0.55,0.1,0.55,0.76,0.55
SVML,tc,800,"(1, 1)",clean_steeming_lemmatization,0.94,0.9,0.94,0.97,0.94
LR1,tc,800,"(1, 1)",clean_steeming_lemmatization,0.91,0.83,0.91,0.96,0.91
LR2,tc,800,"(1, 1)",clean_steeming_lemmatization,0.93,0.86,0.93,0.97,0.93
RF,tc,800,"(1, 1)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tc,800,"(1, 1)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,800,"(1, 2)",clean,0.94,0.95,0.94,0.94,0.94
SVMR,tc,800,"(1, 2)",clean,0.52,0.04,0.52,0.79,0.52
SVML,tc,800,"(1, 2)",clean,0.94,0.88,0.94,0.97,0.94
LR1,tc,800,"(1, 2)",clean,0.87,0.76,0.87,0.94,0.87
LR2,tc,800,"(1, 2)",clean,0.91,0.82,0.91,0.96,0.91
RF,tc,800,"(1, 2)",clean,0.95,0.91,0.95,0.97,0.95
XGB,tc,800,"(1, 2)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,800,"(1, 2)",clean_steeming,0.94,0.92,0.94,0.95,0.94
SVMR,tc,800,"(1, 2)",clean_steeming,0.55,0.09,0.55,0.76,0.55
SVML,tc,800,"(1, 2)",clean_steeming,0.94,0.9,0.94,0.97,0.94
LR1,tc,800,"(1, 2)",clean_steeming,0.91,0.83,0.91,0.96,0.91
LR2,tc,800,"(1, 2)",clean_steeming,0.93,0.86,0.93,0.97,0.93
RF,tc,800,"(1, 2)",clean_steeming,0.94,0.89,0.94,0.96,0.94
XGB,tc,800,"(1, 2)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,800,"(1, 2)",clean_lemmatization,0.94,0.93,0.94,0.95,0.94
SVMR,tc,800,"(1, 2)",clean_lemmatization,0.54,0.07,0.54,0.77,0.54
SVML,tc,800,"(1, 2)",clean_lemmatization,0.93,0.88,0.93,0.96,0.93
LR1,tc,800,"(1, 2)",clean_lemmatization,0.88,0.78,0.88,0.95,0.88
LR2,tc,800,"(1, 2)",clean_lemmatization,0.91,0.83,0.91,0.96,0.91
RF,tc,800,"(1, 2)",clean_lemmatization,0.96,0.93,0.96,0.98,0.96
XGB,tc,800,"(1, 2)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,800,"(1, 2)",clean_steeming_lemmatization,0.94,0.92,0.94,0.95,0.94
SVMR,tc,800,"(1, 2)",clean_steeming_lemmatization,0.55,0.1,0.55,0.76,0.55
SVML,tc,800,"(1, 2)",clean_steeming_lemmatization,0.94,0.9,0.94,0.97,0.94
LR1,tc,800,"(1, 2)",clean_steeming_lemmatization,0.91,0.83,0.91,0.96,0.91
LR2,tc,800,"(1, 2)",clean_steeming_lemmatization,0.92,0.86,0.92,0.96,0.92
RF,tc,800,"(1, 2)",clean_steeming_lemmatization,0.94,0.9,0.94,0.97,0.94
XGB,tc,800,"(1, 2)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,800,"(1, 3)",clean,0.94,0.95,0.94,0.94,0.94
SVMR,tc,800,"(1, 3)",clean,0.52,0.04,0.52,0.79,0.52
SVML,tc,800,"(1, 3)",clean,0.93,0.88,0.93,0.97,0.93
LR1,tc,800,"(1, 3)",clean,0.88,0.77,0.88,0.94,0.88
LR2,tc,800,"(1, 3)",clean,0.91,0.83,0.91,0.96,0.91
RF,tc,800,"(1, 3)",clean,0.94,0.9,0.94,0.97,0.94
XGB,tc,800,"(1, 3)",clean,0.89,0.79,0.89,0.94,0.89
NB,tc,800,"(1, 3)",clean_steeming,0.93,0.91,0.93,0.95,0.93
SVMR,tc,800,"(1, 3)",clean_steeming,0.55,0.09,0.55,0.76,0.55
SVML,tc,800,"(1, 3)",clean_steeming,0.95,0.91,0.95,0.97,0.95
LR1,tc,800,"(1, 3)",clean_steeming,0.91,0.83,0.91,0.96,0.91
LR2,tc,800,"(1, 3)",clean_steeming,0.93,0.86,0.93,0.97,0.93
RF,tc,800,"(1, 3)",clean_steeming,0.94,0.9,0.94,0.97,0.94
XGB,tc,800,"(1, 3)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tc,800,"(1, 3)",clean_lemmatization,0.93,0.93,0.93,0.94,0.93
SVMR,tc,800,"(1, 3)",clean_lemmatization,0.54,0.08,0.54,0.77,0.54
SVML,tc,800,"(1, 3)",clean_lemmatization,0.93,0.87,0.93,0.96,0.93
LR1,tc,800,"(1, 3)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
LR2,tc,800,"(1, 3)",clean_lemmatization,0.92,0.85,0.92,0.96,0.92
RF,tc,800,"(1, 3)",clean_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tc,800,"(1, 3)",clean_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tc,800,"(1, 3)",clean_steeming_lemmatization,0.93,0.9,0.93,0.94,0.93
SVMR,tc,800,"(1, 3)",clean_steeming_lemmatization,0.55,0.1,0.55,0.76,0.55
SVML,tc,800,"(1, 3)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
LR1,tc,800,"(1, 3)",clean_steeming_lemmatization,0.91,0.83,0.91,0.96,0.91
LR2,tc,800,"(1, 3)",clean_steeming_lemmatization,0.93,0.86,0.93,0.97,0.93
RF,tc,800,"(1, 3)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tc,800,"(1, 3)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tf,100,"(1, 1)",clean,0.83,0.96,0.83,0.78,0.83
SVMR,tf,100,"(1, 1)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 1)",clean,0.94,0.89,0.94,0.96,0.94
LR1,tf,100,"(1, 1)",clean,0.88,0.78,0.88,0.94,0.88
LR2,tf,100,"(1, 1)",clean,0.9,0.8,0.9,0.95,0.9
RF,tf,100,"(1, 1)",clean,0.94,0.91,0.94,0.96,0.94
XGB,tf,100,"(1, 1)",clean,0.89,0.79,0.89,0.94,0.89
NB,tf,100,"(1, 1)",clean_steeming,0.87,0.95,0.87,0.84,0.87
SVMR,tf,100,"(1, 1)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 1)",clean_steeming,0.93,0.89,0.93,0.96,0.93
LR1,tf,100,"(1, 1)",clean_steeming,0.89,0.79,0.89,0.95,0.89
LR2,tf,100,"(1, 1)",clean_steeming,0.89,0.8,0.89,0.95,0.89
RF,tf,100,"(1, 1)",clean_steeming,0.94,0.9,0.94,0.96,0.94
XGB,tf,100,"(1, 1)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tf,100,"(1, 1)",clean_lemmatization,0.84,0.94,0.84,0.8,0.84
SVMR,tf,100,"(1, 1)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 1)",clean_lemmatization,0.93,0.87,0.93,0.96,0.93
LR1,tf,100,"(1, 1)",clean_lemmatization,0.88,0.78,0.88,0.94,0.88
LR2,tf,100,"(1, 1)",clean_lemmatization,0.89,0.78,0.89,0.95,0.89
RF,tf,100,"(1, 1)",clean_lemmatization,0.94,0.9,0.94,0.96,0.94
XGB,tf,100,"(1, 1)",clean_lemmatization,0.9,0.81,0.9,0.94,0.9
NB,tf,100,"(1, 1)",clean_steeming_lemmatization,0.87,0.95,0.87,0.84,0.87
SVMR,tf,100,"(1, 1)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 1)",clean_steeming_lemmatization,0.93,0.88,0.93,0.96,0.93
LR1,tf,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.8,0.9,0.95,0.9
LR2,tf,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.8,0.9,0.95,0.9
RF,tf,100,"(1, 1)",clean_steeming_lemmatization,0.94,0.9,0.94,0.96,0.94
XGB,tf,100,"(1, 1)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tf,100,"(1, 2)",clean,0.82,0.95,0.82,0.77,0.82
SVMR,tf,100,"(1, 2)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 2)",clean,0.94,0.89,0.94,0.96,0.94
LR1,tf,100,"(1, 2)",clean,0.9,0.81,0.9,0.95,0.9
LR2,tf,100,"(1, 2)",clean,0.9,0.82,0.9,0.95,0.9
RF,tf,100,"(1, 2)",clean,0.94,0.91,0.94,0.96,0.94
XGB,tf,100,"(1, 2)",clean,0.88,0.78,0.88,0.93,0.88
NB,tf,100,"(1, 2)",clean_steeming,0.87,0.96,0.87,0.83,0.87
SVMR,tf,100,"(1, 2)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 2)",clean_steeming,0.94,0.89,0.94,0.96,0.94
LR1,tf,100,"(1, 2)",clean_steeming,0.9,0.8,0.9,0.95,0.9
LR2,tf,100,"(1, 2)",clean_steeming,0.9,0.8,0.9,0.95,0.9
RF,tf,100,"(1, 2)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tf,100,"(1, 2)",clean_steeming,0.9,0.82,0.9,0.94,0.9
NB,tf,100,"(1, 2)",clean_lemmatization,0.84,0.96,0.84,0.8,0.84
SVMR,tf,100,"(1, 2)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 2)",clean_lemmatization,0.93,0.87,0.93,0.96,0.93
LR1,tf,100,"(1, 2)",clean_lemmatization,0.88,0.78,0.88,0.94,0.88
LR2,tf,100,"(1, 2)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
RF,tf,100,"(1, 2)",clean_lemmatization,0.94,0.9,0.94,0.96,0.94
XGB,tf,100,"(1, 2)",clean_lemmatization,0.9,0.81,0.9,0.94,0.9
NB,tf,100,"(1, 2)",clean_steeming_lemmatization,0.87,0.95,0.87,0.83,0.87
SVMR,tf,100,"(1, 2)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 2)",clean_steeming_lemmatization,0.93,0.87,0.93,0.96,0.93
LR1,tf,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
LR2,tf,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.8,0.9,0.95,0.9
RF,tf,100,"(1, 2)",clean_steeming_lemmatization,0.94,0.91,0.94,0.97,0.94
XGB,tf,100,"(1, 2)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tf,100,"(1, 3)",clean,0.82,0.96,0.82,0.77,0.82
SVMR,tf,100,"(1, 3)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 3)",clean,0.93,0.88,0.93,0.96,0.93
LR1,tf,100,"(1, 3)",clean,0.9,0.81,0.9,0.95,0.9
LR2,tf,100,"(1, 3)",clean,0.9,0.81,0.9,0.95,0.9
RF,tf,100,"(1, 3)",clean,0.93,0.89,0.93,0.95,0.93
XGB,tf,100,"(1, 3)",clean,0.88,0.78,0.88,0.93,0.88
NB,tf,100,"(1, 3)",clean_steeming,0.87,0.96,0.87,0.83,0.87
SVMR,tf,100,"(1, 3)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 3)",clean_steeming,0.93,0.89,0.93,0.96,0.93
LR1,tf,100,"(1, 3)",clean_steeming,0.9,0.81,0.9,0.95,0.9
LR2,tf,100,"(1, 3)",clean_steeming,0.89,0.8,0.89,0.95,0.89
RF,tf,100,"(1, 3)",clean_steeming,0.94,0.91,0.94,0.96,0.94
XGB,tf,100,"(1, 3)",clean_steeming,0.9,0.81,0.9,0.94,0.9
NB,tf,100,"(1, 3)",clean_lemmatization,0.84,0.96,0.84,0.8,0.84
SVMR,tf,100,"(1, 3)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 3)",clean_lemmatization,0.93,0.87,0.93,0.96,0.93
LR1,tf,100,"(1, 3)",clean_lemmatization,0.88,0.78,0.88,0.94,0.88
LR2,tf,100,"(1, 3)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
RF,tf,100,"(1, 3)",clean_lemmatization,0.94,0.9,0.94,0.96,0.94
XGB,tf,100,"(1, 3)",clean_lemmatization,0.9,0.81,0.9,0.94,0.9
NB,tf,100,"(1, 3)",clean_steeming_lemmatization,0.87,0.96,0.87,0.83,0.87
SVMR,tf,100,"(1, 3)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,100,"(1, 3)",clean_steeming_lemmatization,0.93,0.89,0.93,0.96,0.93
LR1,tf,100,"(1, 3)",clean_steeming_lemmatization,0.89,0.8,0.89,0.95,0.89
LR2,tf,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.8,0.9,0.95,0.9
RF,tf,100,"(1, 3)",clean_steeming_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tf,100,"(1, 3)",clean_steeming_lemmatization,0.9,0.82,0.9,0.94,0.9
NB,tf,200,"(1, 1)",clean,0.88,0.94,0.88,0.85,0.88
SVMR,tf,200,"(1, 1)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 1)",clean,0.93,0.87,0.93,0.96,0.93
LR1,tf,200,"(1, 1)",clean,0.88,0.77,0.88,0.94,0.88
LR2,tf,200,"(1, 1)",clean,0.89,0.78,0.89,0.95,0.89
RF,tf,200,"(1, 1)",clean,0.94,0.9,0.94,0.96,0.94
XGB,tf,200,"(1, 1)",clean,0.89,0.79,0.89,0.94,0.89
NB,tf,200,"(1, 1)",clean_steeming,0.88,0.93,0.88,0.87,0.88
SVMR,tf,200,"(1, 1)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 1)",clean_steeming,0.94,0.9,0.94,0.97,0.94
LR1,tf,200,"(1, 1)",clean_steeming,0.89,0.79,0.89,0.94,0.89
LR2,tf,200,"(1, 1)",clean_steeming,0.9,0.81,0.9,0.95,0.9
RF,tf,200,"(1, 1)",clean_steeming,0.95,0.92,0.95,0.97,0.95
XGB,tf,200,"(1, 1)",clean_steeming,0.89,0.79,0.89,0.94,0.89
NB,tf,200,"(1, 1)",clean_lemmatization,0.87,0.93,0.87,0.85,0.87
SVMR,tf,200,"(1, 1)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 1)",clean_lemmatization,0.95,0.9,0.95,0.97,0.95
LR1,tf,200,"(1, 1)",clean_lemmatization,0.89,0.78,0.89,0.95,0.89
LR2,tf,200,"(1, 1)",clean_lemmatization,0.9,0.8,0.9,0.95,0.9
RF,tf,200,"(1, 1)",clean_lemmatization,0.96,0.93,0.96,0.97,0.96
XGB,tf,200,"(1, 1)",clean_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tf,200,"(1, 1)",clean_steeming_lemmatization,0.89,0.93,0.89,0.87,0.89
SVMR,tf,200,"(1, 1)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 1)",clean_steeming_lemmatization,0.94,0.89,0.94,0.96,0.94
LR1,tf,200,"(1, 1)",clean_steeming_lemmatization,0.89,0.78,0.89,0.94,0.89
LR2,tf,200,"(1, 1)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tf,200,"(1, 1)",clean_steeming_lemmatization,0.95,0.92,0.95,0.97,0.95
XGB,tf,200,"(1, 1)",clean_steeming_lemmatization,0.89,0.79,0.89,0.94,0.89
NB,tf,200,"(1, 2)",clean,0.86,0.93,0.86,0.84,0.86
SVMR,tf,200,"(1, 2)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 2)",clean,0.93,0.88,0.93,0.96,0.93
LR1,tf,200,"(1, 2)",clean,0.88,0.76,0.88,0.94,0.88
LR2,tf,200,"(1, 2)",clean,0.88,0.78,0.88,0.95,0.88
RF,tf,200,"(1, 2)",clean,0.94,0.91,0.94,0.96,0.94
XGB,tf,200,"(1, 2)",clean,0.89,0.79,0.89,0.94,0.89
NB,tf,200,"(1, 2)",clean_steeming,0.88,0.93,0.88,0.86,0.88
SVMR,tf,200,"(1, 2)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 2)",clean_steeming,0.94,0.9,0.94,0.97,0.94
LR1,tf,200,"(1, 2)",clean_steeming,0.89,0.79,0.89,0.94,0.89
LR2,tf,200,"(1, 2)",clean_steeming,0.9,0.81,0.9,0.95,0.9
RF,tf,200,"(1, 2)",clean_steeming,0.95,0.92,0.95,0.97,0.95
XGB,tf,200,"(1, 2)",clean_steeming,0.89,0.8,0.89,0.94,0.89
NB,tf,200,"(1, 2)",clean_lemmatization,0.87,0.93,0.87,0.85,0.87
SVMR,tf,200,"(1, 2)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 2)",clean_lemmatization,0.94,0.9,0.94,0.97,0.94
LR1,tf,200,"(1, 2)",clean_lemmatization,0.89,0.78,0.89,0.95,0.89
LR2,tf,200,"(1, 2)",clean_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tf,200,"(1, 2)",clean_lemmatization,0.96,0.94,0.96,0.97,0.96
XGB,tf,200,"(1, 2)",clean_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tf,200,"(1, 2)",clean_steeming_lemmatization,0.88,0.93,0.88,0.86,0.88
SVMR,tf,200,"(1, 2)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 2)",clean_steeming_lemmatization,0.94,0.89,0.94,0.96,0.94
LR1,tf,200,"(1, 2)",clean_steeming_lemmatization,0.89,0.78,0.89,0.94,0.89
LR2,tf,200,"(1, 2)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tf,200,"(1, 2)",clean_steeming_lemmatization,0.96,0.93,0.96,0.97,0.96
XGB,tf,200,"(1, 2)",clean_steeming_lemmatization,0.89,0.79,0.89,0.94,0.89
NB,tf,200,"(1, 3)",clean,0.86,0.93,0.86,0.84,0.86
SVMR,tf,200,"(1, 3)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 3)",clean,0.94,0.89,0.94,0.96,0.94
LR1,tf,200,"(1, 3)",clean,0.88,0.77,0.88,0.94,0.88
LR2,tf,200,"(1, 3)",clean,0.89,0.79,0.89,0.95,0.89
RF,tf,200,"(1, 3)",clean,0.95,0.92,0.95,0.96,0.95
XGB,tf,200,"(1, 3)",clean,0.89,0.79,0.89,0.94,0.89
NB,tf,200,"(1, 3)",clean_steeming,0.88,0.93,0.88,0.86,0.88
SVMR,tf,200,"(1, 3)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 3)",clean_steeming,0.94,0.9,0.94,0.97,0.94
LR1,tf,200,"(1, 3)",clean_steeming,0.89,0.79,0.89,0.94,0.89
LR2,tf,200,"(1, 3)",clean_steeming,0.9,0.81,0.9,0.95,0.9
RF,tf,200,"(1, 3)",clean_steeming,0.95,0.92,0.95,0.97,0.95
XGB,tf,200,"(1, 3)",clean_steeming,0.89,0.8,0.89,0.94,0.89
NB,tf,200,"(1, 3)",clean_lemmatization,0.87,0.93,0.87,0.85,0.87
SVMR,tf,200,"(1, 3)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 3)",clean_lemmatization,0.95,0.9,0.95,0.97,0.95
LR1,tf,200,"(1, 3)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
LR2,tf,200,"(1, 3)",clean_lemmatization,0.9,0.8,0.9,0.95,0.9
RF,tf,200,"(1, 3)",clean_lemmatization,0.96,0.93,0.96,0.97,0.96
XGB,tf,200,"(1, 3)",clean_lemmatization,0.89,0.8,0.89,0.94,0.89
NB,tf,200,"(1, 3)",clean_steeming_lemmatization,0.88,0.93,0.88,0.86,0.88
SVMR,tf,200,"(1, 3)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,200,"(1, 3)",clean_steeming_lemmatization,0.94,0.89,0.94,0.96,0.94
LR1,tf,200,"(1, 3)",clean_steeming_lemmatization,0.89,0.78,0.89,0.94,0.89
LR2,tf,200,"(1, 3)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tf,200,"(1, 3)",clean_steeming_lemmatization,0.96,0.93,0.96,0.97,0.96
XGB,tf,200,"(1, 3)",clean_steeming_lemmatization,0.89,0.79,0.89,0.94,0.89
NB,tf,400,"(1, 1)",clean,0.92,0.94,0.92,0.91,0.92
SVMR,tf,400,"(1, 1)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tf,400,"(1, 1)",clean,0.94,0.89,0.94,0.97,0.94
LR1,tf,400,"(1, 1)",clean,0.86,0.73,0.86,0.93,0.86
LR2,tf,400,"(1, 1)",clean,0.88,0.77,0.88,0.95,0.88
RF,tf,400,"(1, 1)",clean,0.95,0.91,0.95,0.97,0.95
XGB,tf,400,"(1, 1)",clean,0.89,0.79,0.89,0.94,0.89
NB,tf,400,"(1, 1)",clean_steeming,0.92,0.92,0.92,0.92,0.92
SVMR,tf,400,"(1, 1)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tf,400,"(1, 1)",clean_steeming,0.95,0.91,0.95,0.97,0.95
LR1,tf,400,"(1, 1)",clean_steeming,0.88,0.77,0.88,0.94,0.88
LR2,tf,400,"(1, 1)",clean_steeming,0.91,0.82,0.91,0.95,0.91
RF,tf,400,"(1, 1)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tf,400,"(1, 1)",clean_steeming,0.89,0.8,0.89,0.94,0.89
NB,tf,400,"(1, 1)",clean_lemmatization,0.92,0.92,0.92,0.92,0.92
SVMR,tf,400,"(1, 1)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,400,"(1, 1)",clean_lemmatization,0.94,0.9,0.94,0.97,0.94
LR1,tf,400,"(1, 1)",clean_lemmatization,0.89,0.79,0.89,0.95,0.89
LR2,tf,400,"(1, 1)",clean_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tf,400,"(1, 1)",clean_lemmatization,0.96,0.94,0.96,0.98,0.96
XGB,tf,400,"(1, 1)",clean_lemmatization,0.89,0.81,0.89,0.94,0.89
NB,tf,400,"(1, 1)",clean_steeming_lemmatization,0.91,0.92,0.91,0.92,0.91
SVMR,tf,400,"(1, 1)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tf,400,"(1, 1)",clean_steeming_lemmatization,0.95,0.9,0.95,0.97,0.95
LR1,tf,400,"(1, 1)",clean_steeming_lemmatization,0.88,0.78,0.88,0.94,0.88
LR2,tf,400,"(1, 1)",clean_steeming_lemmatization,0.9,0.81,0.9,0.95,0.9
RF,tf,400,"(1, 1)",clean_steeming_lemmatization,0.95,0.92,0.95,0.97,0.95
XGB,tf,400,"(1, 1)",clean_steeming_lemmatization,0.89,0.8,0.89,0.94,0.89
