algorithm,train_data_file,mean_recall,std_recall
LR,"data/train_test/data_tfidf_800_(1, 1)_clean_lemmatization.pkl",0.71,0.09
RF,"data/train_test/data_tfidf_800_(1, 1)_clean_lemmatization.pkl",0.88,0.07
GB,"data/train_test/data_tfidf_800_(1, 1)_clean_lemmatization.pkl",0.79,0.1
NB,"data/train_test/data_tf_200_(1, 3)_clean_steeming.pkl",0.94,0.08
SVM,"data/train_test/data_tf_200_(1, 3)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tf_200_(1, 3)_clean_steeming.pkl",0.82,0.08
RF,"data/train_test/data_tf_200_(1, 3)_clean_steeming.pkl",0.87,0.07
GB,"data/train_test/data_tf_200_(1, 3)_clean_steeming.pkl",0.81,0.07
NB,"data/train_test/data_tfidf_500_(1, 3)_clean.pkl",0.92,0.05
SVM,"data/train_test/data_tfidf_500_(1, 3)_clean.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_500_(1, 3)_clean.pkl",0.8,0.1
RF,"data/train_test/data_tfidf_500_(1, 3)_clean.pkl",0.85,0.11
GB,"data/train_test/data_tfidf_500_(1, 3)_clean.pkl",0.78,0.13
NB,"data/train_test/data_tc_800_(1, 3)_clean.pkl",0.97,0.04
SVM,"data/train_test/data_tc_800_(1, 3)_clean.pkl",0.04,0.05
LR,"data/train_test/data_tc_800_(1, 3)_clean.pkl",0.88,0.08
RF,"data/train_test/data_tc_800_(1, 3)_clean.pkl",0.87,0.09
GB,"data/train_test/data_tc_800_(1, 3)_clean.pkl",0.83,0.09
NB,"data/train_test/data_tf_800_(1, 2)_clean_lemmatization.pkl",0.95,0.04
SVM,"data/train_test/data_tf_800_(1, 2)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_800_(1, 2)_clean_lemmatization.pkl",0.81,0.11
RF,"data/train_test/data_tf_800_(1, 2)_clean_lemmatization.pkl",0.88,0.09
GB,"data/train_test/data_tf_800_(1, 2)_clean_lemmatization.pkl",0.81,0.1
NB,"data/train_test/data_tfidf_800_(1, 1)_clean_steeming.pkl",0.84,0.08
SVM,"data/train_test/data_tfidf_800_(1, 1)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_800_(1, 1)_clean_steeming.pkl",0.76,0.12
RF,"data/train_test/data_tfidf_800_(1, 1)_clean_steeming.pkl",0.89,0.07
GB,"data/train_test/data_tfidf_800_(1, 1)_clean_steeming.pkl",0.85,0.07
NB,"data/train_test/data_tc_100_(1, 2)_clean_steeming.pkl",0.98,0.03
SVM,"data/train_test/data_tc_100_(1, 2)_clean_steeming.pkl",0.73,0.09
LR,"data/train_test/data_tc_100_(1, 2)_clean_steeming.pkl",0.85,0.08
